Designation,Code_Barres
Gateau Cherchell Yaourt,6130619003094
Gateau Chocolat Bejaouia,
Gateau Chocolat Oreo,
Gateau Cigar,
Gateau Cigarette,
Gateau Kool 4 Winners,6133414007137
Gateau Le Mosaique,6132501547853
Gateau Star Lu,6132011100531
Gauffrette Wafer Choco,6133414011530
Gaufrette Amine,6132500891254
Gaufrette Bifa Wafer Choco,6132501543077
Gaufrette Bilux Cacahuéte/Fraise,6135418001524
Gaufrette Bilux Chocolat,6135418001494
Gaufrette Bilux Noisette,6135418001500
Gaufrette Croustille LU,6132011101293
Gaufrette Croustille LU Pocket,6132011101088
Gaufrette Gofretto,613250151036
Gaufrette Kool Break Chocolat,6133414005607
Gaufrette Kool Break Dark,6133414009537
Gaufrette Kool Break Maxi,6133414012537
Gaufrette Kool Break Maxi Blanc,6133414013510
Gaufrette Kool Break Maxi Pistache,6133414015576
Gaufrette Kool Break White,6133414007540
Gaufrette Kool Supreme Chocolat,6133414007113
Gaufrette Kool Supreme Mini,
Gaufrette Kool Supreme White,6133414010229
Gaufrette Kool Supreme White Hazelnut,6133414008509
Gaufrette Kool Supreme XL,6133414011059
Gaufrette Maxon Orio,6133414010878
Gaz Ghadir 33 CL Ananas,6133253000429
Gaz Ghadir 33 CL Cidre,6133253000443
Gaz Ghadir 33 CL Citronade,6133253001549
Gaz Ghadir 33 CL Cola,6133253000689
Gaz Ghadir 33 CL Framboise,6133253000481
Gaz Ghadir 33 CL Grenadine,6133253001556
Gaz Ghadir 33 CL Orange,6133253000368
Gaz Ghadir 33 CL Orangeade,6133253001563
Gaz Hamoud Boualem 24 CL Cola CT,6130695113878
Gaz Hamoud Boualem 24CL 0 Blanche,6130695114301
Gaz Hamoud Boualem 24CL 0 Celecto,6130695114295
Gaz Hamoud Boualem 24CL 0 Cola,6130695114318
Gaz Hamoud Boualem 24CL Ananas CT,6130695113830
Gaz Hamoud Boualem 24CL Blanche CT,6130695113885
Gaz Hamoud Boualem 24CL Celecto CT,6130695113892
Gaz Hamoud Boualem 24CL Citron CT,6130695113854
Gaz Hamoud Boualem 24CL Litchi CT,6130695113861
Gaz Hamoud Boualem 24CL Orange CT,6130695113823
Gaz Hamoud Boualem 24CL Pomme CT,6130695113847
Gaz Hamoud Boualem 25CL Ananas,6130695113946
Gaz Hamoud Boualem 25CL Celecto,6130695113939
Gaz Hamoud Boualem 25CL Citron,6130695113953
Gaz Hamoud Boualem 25CL Fraise,6130695114004
Gaz Hamoud Boualem 2L Ananas,
Gaz Hamoud Boualem 2L Blanche,
Gaz Hamoud Boualem 2L Pomme,
Gaz Hamoud Boualem 33 CL Ananas,6130695112567
Gaz Hamoud Boualem 33 CL Blanche,6130695111287
Gaz Hamoud Boualem 33 CL Celecto,6130695111270
Gaz Hamoud Boualem 33 CL Citron,6130695111300
Gaz Hamoud Boualem 33 CL Fraise,
Gaz Hamoud Boualem 33 CL Orange,6130695111294
Gaz Hamoud Boualem 33 CL Pomme,6130695113588
Gaz Hamoud Boualem 33CL Cola,6130695113533
Gaz Izem Cafeine CT,6130093063720
Gaz Izem Cerise,6130093067353
Gaz Izem Cerise CT,6130093067254
Gaz Izem Coco Myrtille,6130093068145
Gaz Izem Coco Myrtille CT,6130093067636
Gaz Izem Fruits Rouges,6130093068916
Gaz Izem Mangue,6130093068909
Gaz Izem Original,6130093063706
Gaz Izem Pasteque fraise,6130093068138
Gaz Izem Pasteque fraise CT,6130093067629
Gaz Izem Poir,6130093068961
Gaz Izem Pomme Figue,6130093067346
Gaz Izem Pomme Figue CT,6130093067261
Gaz Izem Tropical,613009369173
Gaz N'Gaous CT,
"Gaz N'Gaous PM 17,5 CL",6132457700210
Gaz N'Gaous PM 33 CL,
Gaz Ngaous 33CL Orange,6132457700180
Gaz Ngaous CT,
Gaz Orangina PM,6132007100132
Gaz Schweppes Ananas 33CL,6130003016136
Gaz Schweppes Grenadine 33CL,6133166001292
Gaz Schweppes Grenadine CT,6130003014385
Gaz Schweppes Menthe 33CL,613000316143
Gaz Schweppes Mohito 33CL,613000016143
Gaz Tazej Pulpe Agrumes,6132504576867
Gaz Tazej Pulpe Orange,6132504576355
Gaz Vichy Ifri 33 CL Citron,6130093068206
Gaz Vichy Ifri GM,6130093060644
Gaz Vichy Ifri PM,6130093010335
Ghaufrette Obimo Wafer,6130505000312
Ghaufrette Wafer Fruits,6133414011073
Ghaufrette Wafer Noisette,6133414011103
Gobelet Cristal,
Gobelet Jus,
Gobelet Pour Thé,
H ??????,
H ??????,
Huile Cafétéria,
I ??????,
Ice Cream Cornito Chocolat,6132501703792
Ice Cream Cornito Vanille,6135958000407
Ice Cream Eskimo Chocolat,6130624000903
Ice Cream Eskimo Vanille,6130624000200
Ice Cream Gobelet Citron,6132501703228
Ice Cream Gobelet Fraise,6132501703099
Ice Cream Gobelet Vanille Chocolat,6132501703136
Ice Cream Mini Chocolat,6132501703587
Ice Cream Mini Fraise,6132501703600
Ice Cream Mini Vanille,6132501703594
Ice Cream Misou Vanille Chocolat,6132501704881
Ice Cream Sandwich,6132501703921
Ice TEA Rouiba,6130002005070
Jalousie,
Jouzia,
Jus Azro Red,6130093058344
Jus Azro blue,6130093056807
Jus BK Energie,6132122400360
Jus Daily Boite,6132501549512
Jus Daily Boite Mangue,6134427001679
Jus Daily Joy Boite,6134427000122
Jus Ifruit 2L Ananas,
Jus Ifruit 2L Carotte,
Jus Ifruit 2L Citron,
Jus Ifruit 2L Cocktail,
Jus Ifruit 2L Raisin,
Jus Ifruit 30 CL Péche Abricot,6130093067971
Jus Ifruit 33 CL Ananas,6130093067988
Jus Ifruit 33 CL Carotte,6130093067933
Jus Ifruit 33 CL Cerise,6130093068466
Jus Ifruit 33 CL Citron,6130093067957
Jus Ifruit 33 CL Mangue,6130093067995
Jus Ifruit 33 CL Orange,6130093067926
Jus Ifruit 33 CL Péche,6130093067964
Jus Ifruit 33 CL Raisin,6130093068008
Jus Ifruit 33 CL Tropical,6130093056890
Jus Ifruit Boite 33 CL Ananas,6130093067803
Jus Ifruit Boite 33 CL Ananas au Lait,6130093069258
Jus Ifruit Boite 33 CL Citronade,6130093067766
Jus Ifruit Boite 33 CL Fraise,6130093067872
Jus Ifruit Boite 33 CL Noix de Coco,6130093069579
Jus Ifruit Boite 33 CL Orange,6130093067773
Jus Ifruit Boite 33 CL Orange Citron Carrot,6130093067796
Jus Ifruit Boite 33 CL Peche Orange,6130093067810
Jus Ifruit Boite 33 CL Raisin,6130093067834
Jus Ifruit Boite 33 CL Tropical,6130093067780
Jus Ifruit Boite Banane Pomme,6130093066172
Jus Ifruit Boite Fraise Raisin,6130093066288
Jus Ifruit Boite Fruit Rouge,6130093066820
Jus Ifruit Boite Orange Mangue,6130093066134
Jus Ifruit au Lait 33 CL Banane,6130093062433
Jus Ifruit au Lait 33 CL Fruit Rouge,
Jus Ifruit au Lait 33 CL Mangue,6130093068046
Jus Ifruit au Lait 33 CL Orange,6130093056937
Jus Ifruit au Lait 33 CL Raisen Fraise,6130093068022
Jus Izem Poir,6130093068848
Jus Kidy Boite 20cl,6132344700262
Jus King Cocktail,6135643000149
Jus King Fraise,6135643000101
Jus King Orange,6135643000132
Jus Pressé Banane,
Jus Pressé Cocktail,
Jus Pure Poire,6132507022101
Jus Rami 33 CT,
Jus Rouiba 33 CL Citronad Ment,6130002005476
Jus Rouiba 33 CL Raisin,6130002005377
Jus Rouiba Boite Cocktail,6130002001690
