Nom,Categorie_Suggeree,Type,Format,Variante,Source,Ligne
Miel ASSILA el mordjane1 KG c/12,Café/Divers,Storable,,,listing_restaurant_cafeteria,197
Miel ASSILA el mordjane5 KG,Café/Divers,Storable,,,listing_restaurant_cafeteria,198
Eau De Fleur casbah,Café/Divers,Storable,,,listing_restaurant_cafeteria,199
SUCRE GLACE EL MORDJANE 700G C/12,Café/Divers,Storable,,,listing_restaurant_cafeteria,200
MIEL EL MORDJANE 1KG C/12,Café/Divers,Storable,,,listing_restaurant_cafeteria,201
MIEL EL MORDJANE 5KG,Café/Divers,Storable,,,listing_restaurant_cafeteria,202
petite Beurre C/12,Café/Biscuits & Gâteaux,Storable,,,listing_restaurant_cafeteria,203
barquette aluminium 650cl F/100,Café/Emballage,Storable,,,listing_restaurant_cafeteria,204
Papier Aluminium420 CL,Café/Emballage,Storable,,,listing_restaurant_cafeteria,205
Papier Film 200 M,Café/Emballage,Storable,,,listing_restaurant_cafeteria,206
Papier Cuisson50 M,Café/Emballage,Storable,,,listing_restaurant_cafeteria,207
GOBLET 6 oz LE PRINCE,Café/Emballage,Storable,,,listing_restaurant_cafeteria,208
SAC SANDWICH CT 400P LE PRINCE,Café/Emballage,Storable,,,listing_restaurant_cafeteria,209
CUILLERE GM 40PS/50CT RKMD,Café/Emballage,Storable,,,listing_restaurant_cafeteria,210
CUILLERE PM 40PS/50CT RKDM,Café/Emballage,Storable,,,listing_restaurant_cafeteria,211
BOITE PLASTIQUE CARRE 375ML C/1000PS,Café/Emballage,Storable,,,listing_restaurant_cafeteria,212
VERINE EN PLASTIQUE AVEC COVERT ROND F/25,Café/Emballage,Storable,,,listing_restaurant_cafeteria,213
GOBLET PLSTIQUE BLANC 30*100RKMD,Café/Emballage,Storable,,,listing_restaurant_cafeteria,214
AGRAFEUSE TRENDY-45M KAN,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,1
FLUORESCENT PRESENTOIRE DE 36 EVEREST EV 4013,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,2
RECHARGE MARQ TAB EV 4035 NOIR EVEREST,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,3
STYLO ULTRON X2 BLEU,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,4
STYLO ULTRON X2 NOIR,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,5
STYLO ULTRON X2 ROUGE,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,6
STYLO ULTRON X2 VERT,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,7
NOTE BOOK A4 SP 70 F 152985 ABS/ 1152,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,8
CALCUL SCIENTIFIQUE KAJIB 552F 991ES,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,9
RAME EXTRA A3 80G RAMOS,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,10
PAPIER DE LUXE PRISMA A4 130 G 9517 TECHNO,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,11
PAP MOUCHOIR LILAS,Ménage & Nettoyage,Storable,,,liste_articles_HIS,12
SOUS CHEMISE PLIEE 25F 80G EP-0231 EXCELLES,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,13
CAHIER 5 EN 1 250P 5X5 A5 IM 25-04,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,14
CAHIER 6 EN 1 A5 IM 25-05 MER,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,15
REGISTRE 3 MAINS HILLAL C16,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,16
REGISTRE 2 MAINS C20 RAMOS,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,17
REGISTRE 4 MAINS C12 PROP ET HILAL,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,18
FLASH DISQUE 8 GB ADATA,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,19
FLASH DISQUE 16 GB METAL HP REF 285,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,20
SCOTCH 28 Y X 18 TRANS V-2410 VERTEX,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,21
MARQUEUR CRAIE ED 4095 ROUGE,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,22
MARQUEUR CRAIE ED 4095 VERT,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,23
CAHIER 120P SP C90 HILAL,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,24
CAHIER 120P 70GRS CT90 / 80 HILAL,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,25
CORRECTEUR STYLO 07ML BT12 3631 TECHNO,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,26
CAHIER 64P ITAL /MOUJ /COQ,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,27
CAHIER 96P 70GRS CT100/ 96 HILAL,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,28
PAPIER DE LUXE PRISMA A4 260G 20F 9516 TECHNO,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,29
PORTE STYLO METAL ROND 802 EV 1800,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,30
SOUS CHEMISE 250F INOV/RAKAN 0198/RAK,Copy/Articles Bureautique,Storable,,,liste_articles_HIS,31
LINGETTE DE POCHE ENFANT COMFORT,Ménage & Nettoyage,Storable,,,liste_articles_HIS,32
